acci_ref,loc_east_osgr,loc_nor_osgr,longitude,latitude,date,_months_,day_of_week,time,hour_of_day,time_category,loc_auth_ons_distr,first_road_class,first_road_num,road_type,speed_limit,junc_detail,sec_road_class,ped_cross_hum_con,ped_cross_phy_facil,light_con,weath_con,road_surf_con,spec_con_site,carri_haz,urb_or_rur_area,did_poli_offi_att,tru_road_flag,lsoa_of_acc_loc,num_of_casu,num_of_vehi,acci_severity
451012324,499656,165450,-0.569453,51.379364,1/6/2021,jan,4,14:50:00,14,after,E07000212,4,386,6,60,3,6,0,0,1,1,2,0,0,2,1,2,E01030679,1,2,2
451012355,503891,149769,-0.513183,51.237651,1/6/2021,jan,4,22:02:00,22,eveni,E07000209,4,1,6,60,0,0,0,0,6,1,4,0,0,2,1,2,E01030461,1,1,3
451012421,516515,156493,-0.330239,51.295652,1/6/2021,jan,4,12:45:00,12,after,E07000210,6,0,6,30,0,0,0,0,1,1,1,0,0,1,2,2,E01030550,1,2,3
451012456,499949,149459,-0.569718,51.235567,1/7/2021,jan,5,9:19:00,9,morni,E07000209,6,0,6,30,0,0,0,0,1,1,2,0,0,1,1,2,E01030455,1,2,3
451012482,506130,162007,-0.477491,51.347243,1/6/2021,jan,4,17:50:00,17,after,E07000207,6,0,6,20,0,0,0,0,5,1,1,0,0,1,2,2,E01030347,1,2,3
451012592,500746,158523,-0.555755,51.316905,1/7/2021,jan,5,13:00:00,13,after,E07000217,6,0,6,30,6,6,0,1,1,1,1,0,0,1,2,2,E01030993,1,2,3
451012609,531445,149444,-0.118807,51.229054,1/7/2021,jan,5,16:47:00,16,after,E07000215,6,0,6,40,0,0,0,0,6,1,1,0,0,2,1,2,E01030814,1,2,3
451012611,526460,143114,-0.192391,51.173288,1/7/2021,jan,5,17:00:00,17,after,E07000210,3,217,6,40,3,3,0,0,4,1,4,0,0,2,1,2,E01030531,1,2,3
451012631,494602,147372,-0.646836,51.217717,1/7/2021,jan,5,16:50:00,16,after,E07000209,3,3,3,70,0,0,0,0,6,1,1,0,0,2,1,1,E01030471,1,2,3
451012845,514671,168747,-0.352732,51.406166,1/8/2021,jan,6,11:55:00,11,morni,E07000207,3,3050,6,30,6,6,0,4,1,1,1,0,0,1,1,2,E01030329,1,2,2
451012882,525672,147824,-0.202011,51.215794,1/8/2021,jan,6,13:00:00,13,after,E07000211,3,217,6,30,0,0,0,0,1,1,1,0,0,1,1,2,E01030633,2,2,3
451012899,525840,148778,-0.199272,51.224331,1/8/2021,jan,6,15:08:00,15,after,E07000211,3,217,6,30,3,3,0,8,1,1,2,0,0,1,1,2,E01030594,1,2,3
451012920,510860,159920,-0.410248,51.327583,1/8/2021,jan,6,16:42:00,16,after,E07000207,3,245,6,30,0,0,0,0,4,1,1,0,0,1,2,2,E01030302,1,2,3
451012927,528783,151812,-0.156061,51.250943,1/8/2021,jan,6,17:05:00,17,after,E07000211,6,0,1,30,1,6,0,0,4,1,1,0,0,1,1,2,E01030611,1,2,3
451012928,521884,163695,-0.250809,51.359257,1/8/2021,jan,6,23:28:00,23,eveni,E07000208,3,240,3,40,0,0,0,0,4,1,4,0,0,1,1,2,E01030406,1,1,3
451012956,506313,170834,-0.472224,51.426551,1/8/2021,jan,6,7:55:00,7,morni,E07000213,3,308,3,30,1,3,0,8,1,1,1,0,0,2,2,2,E01030721,1,2,3
451013002,526646,151173,-0.186891,51.245678,1/9/2021,jan,7,12:40:00,12,after,E07000211,3,242,6,30,2,6,0,0,1,1,1,0,0,1,2,2,E01030616,1,2,3
451013009,489486,161514,-0.716531,51.345674,1/8/2021,jan,6,18:30:00,18,eveni,E07000214,3,325,6,30,6,6,0,0,4,1,4,0,0,1,1,2,E01030796,1,1,3
451013026,488276,133755,-0.740724,51.096312,1/9/2021,jan,7,18:10:00,18,eveni,E07000216,3,287,6,40,9,6,0,0,6,7,4,0,3,2,2,2,E01030929,3,2,3
451013047,517609,158318,-0.313954,51.31183,1/10/2021,jan,1,7:05:00,7,morni,E07000210,6,0,6,30,6,6,0,0,7,7,4,0,0,1,2,2,E01030505,1,2,3
451013062,505756,165031,-0.481961,51.374495,1/10/2021,jan,1,11:18:00,11,morni,E07000212,6,0,1,30,1,6,0,0,1,1,2,0,0,1,1,2,E01030649,2,2,3
451013094,489459,162017,-0.716792,51.3502,1/8/2021,jan,6,8:50:00,8,morni,E07000214,6,0,2,20,8,6,0,0,1,1,2,0,0,1,1,2,E01030786,1,2,3
451013102,497754,152964,-0.600194,51.267454,1/10/2021,jan,1,23:02:00,23,eveni,E07000209,3,1,1,60,1,3,0,0,6,1,2,0,0,1,1,2,E01030501,1,1,3
451013398,523208,159400,-0.233287,51.320371,1/11/2021,jan,2,13:45:00,13,after,E07000211,3,240,6,30,9,6,0,0,1,1,1,0,0,1,1,2,E01030605,1,2,3
